year,date,salinity.regime,site,transect,live.tot,live.adults,live.juveniles,empty.tot,empty.adult,empty.juv,egg.mass,notes,num.tran
2014,18-Apr-14,salty,Figurehead,b,139,98,41,0,0,0,0,,4
2014,18-Apr-14,salty,Figurehead,c,157,133,24,0,0,0,0,,4
2014,18-Apr-14,salty,Figurehead,d,105,96,9,0,0,0,0,,4
2014,15-May-14,salty,White Rock,a,2,1,1,13,6,7,0,,4
2014,15-May-14,salty,White Rock,b,0,0,0,31,25,6,0,,4
2014,15-May-14,salty,White Rock,c,18,7,11,11,6,5,0,,4
2014,15-May-14,salty,White Rock,d,13,3,10,33,17,16,0,,4
2014,14-May-14,salty,Yellow Point,a,25,25,0,1,1,0,5,,4
2014,14-May-14,salty,Yellow Point,b,38,38,0,12,9,3,4,,4
2014,14-May-14,salty,Yellow Point,c,37,37,0,0,0,0,6,,4
2014,14-May-14,salty,Yellow Point,d,49,46,3,9,5,4,2,,4
